【备注一】通用评估标准 ：未拆标、靓板、无水泡、无进水；折痕轻微水泡扣50，反常发黑水泡扣50。连体坏、进水、已拆标当损坏机处理。,,,,,,,,,
【备注二】功能机/老款标准 ：未拆标且成色好；能正常开机进系统测试，支架不流水、不脱胶割裂；如触摸坏当外壳坏，断线无背光当损坏，连体坏当损坏。,,,,,,,,,
【备注三】比例要求 ：要求正常通话比例。若比例不正常或指定单抽买板，按外单价格或另议。,,,,,,,,,
 国产屏/ 深板整机说明 ：末尾“点数系列”多为老款机型，后两列分别对应不开机与国产屏/整机回收价；其他机型第六列统一为“深板·整机”。 ,,,,,,,,,
================================================================================,,,,,,,,,
 系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机/国产,备注
A系列,3,A37m,35,35,35,35,35,35,
A系列,4,A37,35,35,35,35,35,35,
A系列,5,A37F,15,15,15,15,15,15,
A系列,6,A36,175,175,175,175,175,175,
A系列,1,A35,175,175,175,175,175,175,
A系列,2,A33m,30,30,30,30,30,30,触摸大卡，丰顺烫金边当外单
A系列,3,A33,30,30,30,30,30,30,触摸大卡，丰顺烫金边当外单
A系列,4,A32,175,175,175,175,175,175,
A系列,5,A30,10,10,10,10,8,8,
A系列,6,a17,110,110,110,110,85,85,
A系列,1,A11(4+128/8+128/6+128),175,175,175,175,175,175,(PCHM10)
A系列,2,A11(6+256),175,175,175,175,175,175,
A系列,3,A11(4+64),80,80,80,80,80,80,
A系列,4,A11x,175,175,175,175,175,175,(PCHM30)
A系列,5,A11s,105,105,105,105,105,105,
A系列,6,A9x,195,195,195,195,195,195,(PCEM/T00)
A系列,1,A1,195,195,195,195,195,195,(PCAM/T10)
A系列,2,A9 2020,70,70,60,60,60,60,
A系列,3,A8,195,195,195,195,195,195,
A系列,4,A7x,195,195,195,195,195,195,(PBBMOO)开机循环重启开标、进水当损坏，不开机通点要求9成开机
A系列,5,A7x移动,195,195,195,195,195,195,(PBBT00)开机循环重启开标、进水当损坏，不开机通点要求9成开机
A系列,6,A7移动,125,125,125,125,125,125,(PBFT00)开机循环重启开标、进水当损坏，不开机通点要求9成开机
A系列,1,A7,125,125,125,125,125,125,(PBFT00)开机循环重启开标、进水当损坏，不开机通点要求9成开机
A系列,2,A5S,45,45,45,45,45,45,
A系列,3,a5pro,300,260,260,260,100,100,
A系列,4,A5高配,120,120,120,120,120,120,要求正常比例(通话)比例不正常的，或者单独买的另外算外价格
A系列,5,A5低配,100,100,100,100,100,100,要求正常比例(通话)比例不正常的，或者单独买的另外算外价格
A系列,6,A5 2020,70,70,65,65,65,65,
A系列,1,a31,300,260,260,260,100,100,
A系列,2,a31 Plus,300,260,260,260,100,100,
A系列,3,a3pro,370,370,370,370,100,100,
A系列,4,A3活力版,260,260,260,260,100,100,
A系列,5,A3新款,240,240,240,240,100,100,
A系列,6,A3x,300,300,300,300,150,150,
A系列,1,A3S,45,45,45,45,45,45,
A系列,2,A3,195,195,195,195,195,195,备注三：要求正常比例(通话)比例不正常的，或者单独买的另外算外价格
A系列,3,a2pro,300,260,260,260,100,100,
A系列,4,A2,360,360,360,360,100,100,
A系列,5,a2x,180,180,180,180,100,100,
A系列,6,a11,220,180,180,180,100,100,
A系列,1,A1s,200,200,200,200,100,100,
A系列,2,a2m,180,180,180,180,180,180,
A系列,3,A1PRO,230,230,230,230,230,230,
A系列,4,a1活力版,230,180,180,180,100,100,
A系列,5,a1 5g,230,230,230,230,230,230,
A系列,6,A1x,200,180,180,180,100,100,
A系列,7,A1移动,85,85,85,85,85,85,备注三：要求正常比例(通话)比例不正常的，或者单独买的另外算外价格
A系列,8,A1,85,85,85,85,85,85,备注三：要求正常比例(通话)比例不正常的，或者单独买的另外算外价格
K系列,1,K15 Pro,1300,1200,900,800,150,150,
K系列,2,k15 pro+,1800,1300,1100,800,150,150,
K系列,3,K13 Turbo Pro,300,300,300,300,100,100,
K系列,4,K13 Turbo 5G,300,300,300,300,100,100,
K系列,5,k13x,195,195,195,195,150,150,
K系列,6,k13s,195,195,195,195,170,170,
K系列,1,K12x,195,195,195,195,150,150,
K系列,2,k12plus,195,195,195,195,150,150,
K系列,3,k12s,195,195,195,195,150,150,
K系列,4,K12,195,195,195,195,150,150,
K系列,5,K11x,195,195,195,195,150,150,
K系列,6,K11,210,210,210,210,150,150,
K系列,1,K10 PRO,175,175,175,175,175,175,
K系列,2,K10X,180,180,180,180,180,180,
