系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
Y系列,5,y100,330,330,330,330,230,230,
Y系列,6,y100i,230,230,230,230,230,230,
Y系列,1,Y97,195,195,195,195,195,195,要求靓壳开机
Y系列,2,Y97a,195,195,195,195,195,195,要求靓壳开机
Y系列,3,Y93s(4+128),195,195,195,195,195,195,详见备注二
Y系列,4,Y93a(4+64),120,120,120,120,120,120,详见备注二
Y系列,5,Y93(3+64),120,120,120,120,120,120,详见备注二
Y系列,6,Y91,80,80,80,80,80,80,详见备注二
Y系列,1,Y9s,175,175,175,175,175,175,三星屏
Y系列,2,Y85a,130,130,130,130,130,130,详见备注二
Y系列,3,Y85,130,130,130,130,130,130,详见备注二
Y系列,4,Y83a,145,145,145,145,145,145,详见备注二
Y系列,5,Y83,145,145,145,145,145,145,详见备注二
Y系列,6,Y81s,100,100,100,100,100,100,详见备注二
Y系列,1,Y81,100,100,100,100,100,100,详见备注二
Y系列,2,Y79a,125,125,125,125,125,125,详见备注二
Y系列,3,Y79,125,125,125,125,125,125,详见备注二
Y系列,4,y78+,230,230,230,230,230,230,
Y系列,5,y78t,175,175,175,175,175,175,
Y系列,6,y78,230,230,230,230,230,230,
Y系列,1,y77e,230,230,230,230,230,230,
Y系列,2,y77,230,230,230,230,230,230,
Y系列,3,y76s,230,230,230,230,230,230,详见备注二
Y系列,4,y75a,70,70,70,70,70,70,详见备注二
Y系列,5,Y75s 新款,175,175,175,175,175,175,
Y系列,6,Y75s,60,60,60,60,60,60,详见备注二
Y系列,1,Y75,70,70,70,70,70,70,详见备注二
Y系列,2,Y73S (8+128),175,175,175,175,175,175,
Y系列,3,Y73T,175,175,175,175,175,175,
Y系列,4,Y73,55,55,55,55,55,55,详见备注二
Y系列,5,Y73S (8+256),230,230,230,230,230,230,
Y系列,6,Y72T,175,175,175,175,175,175,
Y系列,1,Y71,175,175,175,175,175,175,
Y系列,2,Y71a,75,75,75,75,75,75,详见备注二
Y系列,3,Y71i,75,75,75,75,75,75,详见备注二
Y系列,4,y7s,195,195,195,195,195,195,"三星屏，不带扣口"
